iso3,country_name,unhcr_region,gis_name,name_fr,name_sp,color_code,terr_id,terr_name,secondary_territory,status_un,lon,lat
AAA,,,Abyei,Abiyé,Abyei,AAA,,Abyei,1,Sovereignty unsettled,28.415,9.7867
XJK,Jammu and Kashmir,,Jammu and Kashmir,Jammu et Cachemire,Jammu y Kashmir,AAA,,Jammu and Kashmir,1,Sovereignty unsettled,75.794,34.5792
TUR,Türkiye,Regional Bureau for Europe,Türkiye,Türkiye,Türkiye,TUR,247,Turkey,,Member State,35.4406,39.0285
JAM,Jamaica,Regional Bureau for the Americas ,Jamaica,Jamaïque,Jamaica,JAM,121,Jamaica,,Member State,-77.3109,18.1564
NIU,Niue (NZL),Regional Bureau for Asia and the Pacific,Niue,Ile Niue,Niue,NZL,180,Niue,,NZ Territory,-169.8602,-19.05
LTU,Lithuania,Regional Bureau for Europe,Lithuania,Lituanie,Lituania,LTU,143,Lithuania,,Member State,23.9045,55.3496
GIB,Gibraltar (GBR),,Gibraltar (GBR),,,GBR,92,Gibraltar,1,UK Non-Self-Governing Territory,-5.3476,36.139
CZE,Czechia,Regional Bureau for Europe,Czech Republic,République tchéque,República Checa,CZE,63,Czech Republic,,Member State,15.3294,49.7484
ASM,American Samoa (USA),,American Samoa (USA),,,USA,4,American Samoa,1,US Non-Self-Governing Territory,-170.7187,-14.3059
EST,Estonia,Regional Bureau for Europe,Estonia,Estonie,Estonia,EST,75,Estonia,,Member State,25.8413,58.6953
KNA,Saint Kitts and Nevis,Regional Bureau for the Americas ,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,Saint Kitts y Nevis,KNA,205,Saint Kitts and Nevis,,Member State,-62.7663,17.34
GUM,Guam (USA),,Guam (USA),,,USA,98,Guam,1,US Non-Self-Governing Territory,144.7029,13.3549
ESH,Western Sahara,Regional Bureau for the Middle East and North Africa,Western Sahara,Sahara occidental,Sáhara Occidental,AAA,266,Western Sahara,1,Non-Self-Governing Territory,-13.1127,24.7073
MDG,Madagascar,Regional Bureau for Eastern and Southern Africa,Madagascar,Madagascar,Madagascar,MDG,146,Madagascar,,Member State,46.6792,-19.4805
LKA,Sri Lanka,Regional Bureau for Asia and the Pacific,Sri Lanka,Sri Lanka,Sri Lanka,LKA,228,Sri Lanka,,Member State,80.7046,7.6176
GNQ,Equatorial Guinea,Regional Bureau for West and Central Africa,Equatorial Guinea,Guinée Équatoriale,Guinea Ecuatorial,GNQ,73,Equatorial Guinea,,Member State,10.4661,1.5661
MKD,North Macedonia,Regional Bureau for Europe,North Macedonia,Macédoine du Nord,Macedonia del Norte,MKD,239,The former Yugoslav Republic of Macedonia,,Member State,21.7016,41.6032
AAA,,,Ma'tan al-Sarra (EGY),,,EGY,,Ma'tan al-Sarra,1,Sovereignty unsettled,33.688,21.8884
USA,United States of America,Regional Bureau for the Americas ,Howland Island (USA),,,USA,110,Howland Island,1,US Territory,-176.6403,0.8047
EGY,Egypt,Regional Bureau for the Middle East and North Africa,Egypt,Égypte,Egipto,EGY,71,Egypt,,Member State,29.7676,26.6641
MLT,Malta,Regional Bureau for Europe,Malta,Malte,Malta,MLT,152,Malta,,Member State,14.4462,35.892
